species_name,assembly_accession,ncbi_bioproject,restriction_status,include_recommended
Lochmaea crataegi,GCA_947563735.1,PRJEB58178,check_ebp_dtol,conditional
Pyrochroa serraticornis,GCA_905333035.1,PRJEB43483,check_ebp_dtol,conditional
Rhagonycha lutea,GCA_958510815.1,PRJEB64397,check_ebp_dtol,conditional
Ocypus olens,GCA_910593855.1,PRJEB45834,check_ebp_dtol,conditional
Platypus cylindrus,GCA_949748395.1,PRJEB60809,check_ebp_dtol,conditional
Anaspis maculata,GCA_949128105.1,PRJEB59497,check_ebp_dtol,conditional
Crepidodera aurea,GCA_949319345.2,PRJEB60252,check_ebp_dtol,conditional
Amphimallon solstitiale,GCA_963170735.1,PRJEB64916,check_ebp_dtol,conditional
Pterostichus madidus,GCA_911728425.1,PRJEB46628,check_ebp_dtol,conditional
Rutpela maculata,GCA_936443135.2,PRJEB52069,check_ebp_dtol,conditional
Cryptophagus acutangulus,GCA_963556225.1,PRJEB67289,check_ebp_dtol,conditional
Orchestes rusci,GCA_958502085.1,PRJEB64388,check_ebp_dtol,conditional
Polydrusus tereticollis,GCA_963920815.1,PRJEB71551,check_ebp_dtol,conditional
Rhagium mordax,GCA_963680695.1,PRJEB70410,check_ebp_dtol,conditional
Dascillus cervinus,GCA_949768705.1,PRJEB60918,check_ebp_dtol,conditional
Dorcus parallelipipedus,GCA_958336325.1,PRJEB64319,check_ebp_dtol,conditional
Endomychus coccineus,GCA_958510805.1,PRJEB64395,check_ebp_dtol,conditional
Hololepta plana,GCA_963700325.2,PRJEB70902,check_ebp_dtol,conditional
Polydrusus tereticollis,GCA_963576715.1,PRJEB68124,check_ebp_dtol,conditional
Elmis aenea,GCA_947652985.1,PRJEB58377,check_ebp_dtol,conditional
Sphaeridium bipustulatum,GCA_977013195.1,PRJEB100566,check_ebp_dtol,yes
Taphrorychus bicolor,GCA_951812425.1,PRJEB62902,check_ebp_dtol,conditional
Abax parallelepipedus,GCA_964197635.1,PRJEB77063,check_ebp_dtol,conditional
Pseudeuparius sepicola,GCA_963920675.1,PRJEB71548,check_ebp_dtol,no
Chrysolina haemoptera,GCA_958298995.1,PRJEB64039,check_ebp_dtol,no
Brachypterus glaber,GCA_958510775.1,PRJEB64399,check_ebp_dtol,no
Galeruca laticollis,GCA_963921905.1,PRJEB71837,check_ebp_dtol,no
Chrysolina oricalcia,GCA_944452915.2,PRJEB53644,check_ebp_dtol,no
Cryptocephalus primarius,GCA_963576505.1,PRJEB68109,check_ebp_dtol,no
Hermaeophaga mercurialis,GCA_951812905.1,PRJEB63007,check_ebp_dtol,no
Drusilla canaliculata,GCA_027574885.2,PRJNA397214,to_verify,no
Attagenus pellio,GCA_978258505.1,PRJEB107202,check_ebp_dtol,yes
Nacerdes melanura,GCA_965279815.1,PRJEB89412,check_ebp_dtol,yes
Stenocarus ruficornis,GCA_977017545.1,PRJEB101940,check_ebp_dtol,yes
Polydrusus impressifrons,GCA_977013155.1,PRJEB100631,check_ebp_dtol,yes
Liophloeus tessulatus,GCA_978021415.1,PRJEB106584,check_ebp_dtol,yes
Mononychus punctumalbum,GCA_977066425.1,PRJEB103979,check_ebp_dtol,yes
Aplotarsus incanus,GCA_978018175.1,PRJEB106233,check_ebp_dtol,yes
Agriotes mancus,GCA_041228545.2,PRJNA1137984,to_verify,yes
Chrysolina hyperici,GCA_982259055.1,PRJEB109774,check_ebp_dtol,yes
Agriotes ferrugineipennis,GCA_044115255.2,PRJNA1137981,to_verify,yes
Acupalpus parvulus,GCA_981690495.1,PRJEB108866,check_ebp_dtol,yes
Stictoleptura scutellata,GCA_964212015.1,PRJEB78589,check_ebp_dtol,yes
Galerucella sagittariae,GCA_980434555.1,PRJEB108405,check_ebp_dtol,yes
Anthocomus fasciatus,GCA_964258825.1,PRJEB79480,check_ebp_dtol,yes
Aegialia arenaria,GCA_978045385.1,PRJEB106973,check_ebp_dtol,yes
Calathus fuscipes,GCA_978120685.1,PRJEB107156,check_ebp_dtol,yes
Malthodes marginatus,GCA_965119225.1,PRJEB85281,check_ebp_dtol,yes
Cantharis pallida,GCA_978407185.1,PRJEB107254,check_ebp_dtol,yes
Anaglyptus mysticus,GCA_978041825.1,PRJEB106864,check_ebp_dtol,yes
Grammoptera ruficornis,GCA_964332075.1,PRJEB82217,check_ebp_dtol,yes
Megatoma undata,GCA_965643635.1,PRJEB93941,check_ebp_dtol,yes
Staphylinus erythropterus,GCA_964211985.1,PRJEB78588,check_ebp_dtol,yes
Harmonia quadripunctata,GCA_965642355.1,PRJEB93842,check_ebp_dtol,yes
Amara aenea,GCA_973897575.1,PRJEB96434,check_ebp_dtol,yes
Coccidula rufa,GCA_965178285.1,PRJEB86220,check_ebp_dtol,yes
Cryptorhynchus lapathi,GCA_965641335.1,PRJEB91871,check_ebp_dtol,yes
Opilo mollis,GCA_964338625.1,PRJEB82307,check_ebp_dtol,yes
Notoxus monoceros,GCA_965276425.1,PRJEB89051,check_ebp_dtol,yes
Coccinella magnifica,GCA_965644505.1,PRJEB94209,check_ebp_dtol,yes
Platyrhinus resinosus,GCA_977061615.1,PRJEB102769,check_ebp_dtol,yes
Ampedus sanguinolentus,GCA_964234845.1,PRJEB79084,check_ebp_dtol,yes
Propylea quattuordecimpunctata,GCA_976923555.1,PRJEB97234,check_ebp_dtol,conditional
Leiosoma deflexum,GCA_965260825.1,PRJEB88797,check_ebp_dtol,yes
Platystomos albinus,GCA_964106955.1,PRJEB76112,check_ebp_dtol,yes
Bruchidius villosus,GCA_965643565.1,PRJEB93938,check_ebp_dtol,yes
Calathus melanocephalus,GCA_966112745.1,PRJEB95785,check_ebp_dtol,yes
Orchesia undulata,GCA_965642215.1,PRJEB93771,check_ebp_dtol,yes
Leistus rufomarginatus,GCA_966112655.1,PRJEB95787,check_ebp_dtol,yes
Anisosticta novemdecimpunctata,GCA_964188085.1,PRJEB76705,check_ebp_dtol,yes
Kyklioacalles roboris,GCA_964211975.1,PRJEB78585,check_ebp_dtol,yes
Diplocoelus fagi,GCA_975143845.1,PRJEB96810,check_ebp_dtol,yes
Tarphius canariensis,GCA_964277185.1,PRJEB81329,check_ebp_dtol,yes
Quedius lateralis,GCA_964339035.1,PRJEB82338,check_ebp_dtol,yes
Calvia quattuordecimguttata,GCA_964059575.1,PRJEB76102,check_ebp_dtol,yes
Anobium punctatum,GCA_965643725.1,PRJEB94003,check_ebp_dtol,yes
Bruchidius varius,GCA_964204965.1,PRJEB78408,check_ebp_dtol,yes
Amara convexiuscula,GCA_981558475.1,PRJEB108813,check_ebp_dtol,yes
Platydracus latebricola,GCA_978021455.1,PRJEB106585,check_ebp_dtol,yes
Chrysolina graminis,GCA_964197765.1,PRJEB77185,check_ebp_dtol,yes
Pycnomerus fuliginosus,GCA_963924625.1,PRJEB72073,check_ebp_dtol,conditional
Calodromius spilotus,GCA_977063465.1,PRJEB103061,check_ebp_dtol,yes
Sphaeroderma testaceum,GCA_971785815.1,PRJEB96098,check_ebp_dtol,yes
Phyllobius pyri,GCA_980747085.1,PRJEB108507,check_ebp_dtol,yes
Tytthaspis sedecimpunctata,GCA_977970265.1,PRJEB105663,check_ebp_dtol,conditional
Rhizotrogus aestivus,GCA_965643615.1,PRJEB93943,check_ebp_dtol,yes
Chrysomela saliceti,GCA_965122525.1,PRJEB85417,check_ebp_dtol,yes
Dromius quadrimaculatus,GCA_963989235.1,PRJEB73741,check_ebp_dtol,yes
Altica lythri,GCA_964028145.1,PRJEB74862,check_ebp_dtol,yes
Oedemera lurida,GCA_979843775.1,PRJEB108215,check_ebp_dtol,yes
Mycetophagus piceus,GCA_965642245.1,PRJEB93770,check_ebp_dtol,yes
Prionocyphon serricornis,GCA_964468445.1,PRJEB83071,check_ebp_dtol,yes
Tetraopes tetrophthalmus,GCA_042257075.1,PRJNA1083491,to_verify,yes
Prionychus ater,GCA_965112465.1,PRJEB84217,check_ebp_dtol,yes
Lesteva pubescens,GCA_965644435.1,PRJEB94214,check_ebp_dtol,yes
Agriotes obscurus,GCA_040955265.2,PRJNA1117587,to_verify,yes
Longitarsus flavicornis,GCA_964258775.1,PRJEB79477,check_ebp_dtol,yes
Galerucella nymphaeae,GCA_963978485.1,PRJEB73617,check_ebp_dtol,conditional
Chrysolina herbacea,GCA_979299855.1,PRJEB107945,check_ebp_dtol,yes
Monotoma picipes,GCA_977066045.1,PRJEB103785,check_ebp_dtol,yes
Crudosilis ruficollis,GCA_978018185.1,PRJEB106234,check_ebp_dtol,yes
Aphodius granarius,GCA_963971265.1,PRJEB73494,check_ebp_dtol,yes
Lathrobium brunnipes,GCA_965240505.1,PRJEB88416,check_ebp_dtol,yes
Tachinus rufipes,GCA_963932205.1,PRJEB72340,check_ebp_dtol,yes
Barypeithes pellucidus,GCA_963992275.1,PRJEB73829,check_ebp_dtol,conditional
Clivina fossor,GCA_963966135.1,PRJEB72556,check_ebp_dtol,conditional
Pterostichus vernalis,GCA_965283345.1,PRJEB89591,check_ebp_dtol,conditional
Phratora vitellinae,GCA_977071055.1,PRJEB104224,check_ebp_dtol,yes
Labidomera clivicollis,GCA_051313455.2,PRJNA1153339,to_verify,yes
Polydrusus pterygomalis,GCA_963969565.1,PRJEB73301,check_ebp_dtol,conditional
Anaspis regimbarti,GCA_964204705.1,PRJEB78393,check_ebp_dtol,yes
Hemicrepidius hirtus,GCA_963082985.1,PRJEB64844,check_ebp_dtol,conditional
Silvanus unidentatus,GCA_963930795.1,PRJEB72182,check_ebp_dtol,conditional
Denticollis linearis,GCA_964205195.1,PRJEB78456,check_ebp_dtol,conditional
Notiophilus biguttatus,GCA_965642425.1,PRJEB93844,check_ebp_dtol,conditional
Anaspis frontalis,GCA_964243875.1,PRJEB79336,check_ebp_dtol,yes
Dalopius marginatus,GCA_965112795.1,PRJEB84405,check_ebp_dtol,conditional
Pachyrhinus lethierryi,GCA_965118225.1,PRJEB85255,check_ebp_dtol,yes
Pterostichus diligens,GCA_976576855.1,PRJEB96224,check_ebp_dtol,yes
Bitoma crenata,GCA_964656835.2,PRJEB83599,check_ebp_dtol,yes
Gonodera luperus,GCA_977014665.1,PRJEB101654,check_ebp_dtol,yes
Xestobium rufovillosum,GCA_963966065.2,PRJEB72517,check_ebp_dtol,conditional
Aphidecta obliterata,GCA_963965955.1,PRJEB72513,check_ebp_dtol,conditional
Longitarsus dorsalis,GCA_965178215.1,PRJEB86222,check_ebp_dtol,yes
Lordithon lunulatus,GCA_963942465.1,PRJEB72466,check_ebp_dtol,conditional
Lesteva punctata,GCA_975740015.1,PRJEB97789,check_ebp_dtol,yes
Subcoccinella vigintiquattuorpunctata,GCA_965789425.1,PRJEB95122,check_ebp_dtol,yes
Stenus bimaculatus,GCA_963971105.1,PRJEB73463,check_ebp_dtol,conditional
Sitona lineatus,GCA_964263185.1,PRJEB79949,check_ebp_dtol,yes
Aphodius sticticus,GCA_963966085.1,PRJEB72518,check_ebp_dtol,conditional
Aphodius fimetarius,GCA_964211875.1,PRJEB78532,check_ebp_dtol,conditional
Paederus riparius,GCA_978046075.1,PRJEB107036,check_ebp_dtol,yes
Phaleria cadaverina,GCA_977013325.1,PRJEB100765,check_ebp_dtol,yes
Pseudocistela ceramboides,GCA_965601655.1,PRJEB90521,check_ebp_dtol,yes
Rhagonycha lignosa,GCA_965213395.1,PRJEB87036,check_ebp_dtol,conditional
Crepidodera fulvicornis,GCA_965615775.1,PRJEB90967,check_ebp_dtol,yes
Curculio glandium,GCA_965648465.1,PRJEB94372,check_ebp_dtol,yes
Magdalis barbicornis,GCA_965663605.1,PRJEB94977,check_ebp_dtol,yes
Pogonocherus hispidulus,GCA_963924615.1,PRJEB72079,check_ebp_dtol,conditional
Mycetophagus atomarius,GCA_977117645.1,PRJEB104608,check_ebp_dtol,yes
Xantholinus longiventris,GCA_978045115.1,PRJEB106916,check_ebp_dtol,yes
Ocys tachysoides,GCA_965282505.1,PRJEB89446,check_ebp_dtol,conditional
Betulapion simile,GCA_966183735.1,PRJEB95841,check_ebp_dtol,yes
Cynaeus angustus,GCA_030157255.1,PRJNA816608,to_verify,conditional
Eledona agricola,GCA_964023225.2,PRJEB74608,check_ebp_dtol,conditional
Cis bilamellatus,GCA_977930305.1,PRJEB105252,check_ebp_dtol,conditional
Tachyporus hypnorum,GCA_965783505.1,PRJEB95125,check_ebp_dtol,yes
Coelostoma orbiculare,GCA_979606525.1,PRJEB108173,check_ebp_dtol,yes
Agonum viduum,GCA_978021525.1,PRJEB106582,check_ebp_dtol,yes
Metoecus paradoxus,GCA_965283235.1,PRJEB89533,check_ebp_dtol,conditional
Agriotes pubescens,GCA_044115355.2,PRJNA1137976,to_verify,conditional
Ontholestes murinus,GCA_963969535.1,PRJEB73303,check_ebp_dtol,conditional
Malthodes minimus,GCA_964263265.1,PRJEB79899,check_ebp_dtol,yes
Philopedon plagiatum,GCA_963971095.1,PRJEB73465,check_ebp_dtol,conditional
Acupalpus dubius,GCA_977071085.1,PRJEB104222,check_ebp_dtol,yes
Pediacus dermestoides,GCA_963942455.1,PRJEB72468,check_ebp_dtol,conditional
Malthinus seriepunctatus,GCA_963924635.1,PRJEB72082,check_ebp_dtol,conditional
Grypus equiseti,GCA_964656875.1,PRJEB83601,check_ebp_dtol,yes
Crepidodera aurata,GCA_965645195.1,PRJEB94309,check_ebp_dtol,conditional
Taeniapion urticarium,GCA_978019945.1,PRJEB106456,check_ebp_dtol,yes
Cryptocephalus pusillus,GCA_965663595.1,PRJEB94976,check_ebp_dtol,no
Eulagius filicornis,GCA_965643575.1,PRJEB93939,check_ebp_dtol,yes
Actenicerus siaelandicus,GCA_964235275.1,PRJEB79054,check_ebp_dtol,no
Tillus elongatus,GCA_964006135.1,PRJEB74022,check_ebp_dtol,no
Carabus nemoralis,GCA_977809175.1,PRJEB104833,check_ebp_dtol,no
Colydium elongatum,GCA_964656365.1,PRJEB83424,check_ebp_dtol,yes
Podagrica fuscicornis,GCA_980251295.1,PRJEB108298,check_ebp_dtol,no
Rhyzobius forestieri,GCA_966185145.1,PRJEB95844,check_ebp_dtol,no
Tetropium fuscum,GCA_964058915.1,PRJEB75843,check_ebp_dtol,no
Calligrapha alni,GCA_046129265.1,PRJNA1153341,to_verify,no
Plateumaris germari,GCA_050242975.1,PRJNA1153335,to_verify,no
Microrhagus pygmaeus,GCA_965643775.1,PRJEB94006,check_ebp_dtol,no
Oryctes borbonicus,GCA_001443705.1,PRJNA293509,to_verify,no
Cantharis decipiens,GCA_965642375.1,PRJEB93840,check_ebp_dtol,no
Holobus sp. GC000080,GCA_030556065.1,PRJNA764224,to_verify,no
Aleochara sp. GC000083,GCA_030264555.1,PRJNA764224,to_verify,no
Adinopsis sp. GC000173,GCA_030264715.1,PRJNA764224,to_verify,no
Phaenonotum sp. SLE1380,GCA_033557805.1,PRJNA977672,to_verify,no
Myllaena sp. GC000078,GCA_030264135.1,PRJNA764224,to_verify,no
Lethrus apterus,GCA_018397195.1,PRJNA695433,to_verify,no
Berosus sp. SLE1611,GCA_033557775.1,PRJNA977672,to_verify,no
Geostiba sp. GC000077,GCA_030264215.1,PRJNA764224,to_verify,no
Leptusa sp. GC000079,GCA_030264655.1,PRJNA764224,to_verify,no
Ecitodaemon sp. MM-2014,GCA_030557295.1,PRJNA764224,to_verify,no
Falagria sp. GC000072,GCA_030556245.1,PRJNA764224,to_verify,no
Gymnusa sp. GC000175,GCA_030264735.1,PRJNA764224,to_verify,no
Tachinus sp. AB-2021,GCA_030264575.1,PRJNA764224,to_verify,no
Oxypoda opaca,GCA_027576775.1,PRJNA361304,to_verify,no
Leptinotarsa juncta,GCA_015342165.1,PRJNA580490,to_verify,no
Sepedophilus sp. GC000190,GCA_030264515.1,PRJNA764224,to_verify,no
Oligota sp. GC000189,GCA_030264595.1,PRJNA764224,to_verify,no
Sarophorus costatus,GCA_032191615.1,PRJNA977672,to_verify,no
Helictopleurus sicardi,GCA_033557145.1,PRJNA977672,to_verify,no
Nanos sp. ST009,GCA_032191585.1,PRJNA977672,to_verify,no
Tribolium castaneum,GCA_000002335.3,PRJNA12540,to_verify,yes
Tribolium castaneum,GCF_000002335.3,PRJNA12540,to_verify,yes
Leptinotarsa decemlineata,GCA_000500325.2,PRJNA171749,to_verify,conditional
Leptinotarsa decemlineata,GCF_000500325.1,PRJNA171749,to_verify,conditional
Harmonia axyridis,GCA_009805905.1,PRJNA437351,to_verify,conditional
Dendroctonus ponderosae,GCA_000355655.1,PRJNA162621,to_verify,conditional
Dendroctonus ponderosae,GCF_000355655.1,PRJNA162621,to_verify,conditional
Diabrotica virgifera virgifera,GCA_003013835.2,PRJNA432972,to_verify,conditional
Diabrotica virgifera virgifera,GCF_003013835.1,PRJNA432972,to_verify,conditional
Onthophagus taurus,GCA_000648695.2,PRJNA167478,to_verify,conditional
Onthophagus taurus,GCF_000648695.1,PRJNA167478,to_verify,conditional
Aethina tumida,GCA_001937115.1,PRJNA256171,to_verify,conditional
Aethina tumida,GCF_001937115.1,PRJNA256171,to_verify,conditional
Oryctes rhinoceros,GCA_019329825.1,PRJNA724335,to_verify,yes
Oryctes rhinoceros,GCA_026770135.1,PRJNA851956,to_verify,no
Oryctes rhinoceros,GCA_026770175.1,PRJNA851956,to_verify,no
Oryctes rhinoceros,GCA_026770155.1,PRJNA851956,to_verify,no
Propylea japonica,GCA_018239625.1,PRJNA606954,to_verify,no
Lamprigera yunnana,GCA_013368075.1,PRJNA556754,to_verify,conditional
Abscondita terminalis,GCA_013368085.1,PRJNA556938,to_verify,yes
Agriotes lineatus,GCA_040955275.2,PRJNA1117928,to_verify,conditional
Otiorhynchus rugosostriatus,GCA_982191845.1,PRJEB109072,check_ebp_dtol,yes
Priacma serrata,GCA_000281835.1,PRJNA74387,to_verify,no
Agonum gracile,GCA_982290455.1,PRJEB109969,check_ebp_dtol,yes
Agonum gracile,GCA_982290465.1,PRJEB109968,published_open,yes
Scarites abbreviatus,GCA_982297035.1,PRJEB110036,published_open,yes
Xanthostigma xanthostigma,GCA_963575645.1,PRJEB67825,published_open,yes
Mongoloraphidia duomilia,GCA_039654895.1,PRJNA1104565,published_open,yes
Venustoraphidia nigricollis,GCA_034508555.1,PRJNA996517,published_open,conditional
Xanthostigma xanthostigma,GCA_963575605.1,PRJEB67826,check_ebp_dtol,conditional
Neoneuromus ignobilis,GCA_029203775.1,PRJNA801769,published_open,yes
Sialis fuliginosa,GCA_961205875.1,PRJEB64607,published_open,yes
Sialis lutaria,GCA_949319165.1,PRJEB60236,published_open,yes
Acanthacorydalis orientalis,GCA_034766995.1,PRJNA1021543,published_open,yes
Neoneuromus ignobilis,GCA_024320075.1,PRJNA801769,to_verify,yes
Sialis lutaria,GCA_949319145.1,PRJEB60237,check_ebp_dtol,conditional
Sialis fuliginosa,GCA_961205855.1,PRJEB64606,check_ebp_dtol,conditional
Neoneuromus ignobilis,GCA_014529405.1,PRJNA532764,to_verify,no
Chrysoperla carnea,GCA_905475395.1,PRJEB44056,published_open,yes
Chrysoperla carnea,GCF_905475395.1,PRJEB44056,published_open,yes
Chrysopa pallens,GCA_020423425.1,PRJNA685652,published_open,yes
Sisyra terminalis,GCA_958496175.1,PRJEB64375,published_open,yes
Sisyra nigra,GCA_958496155.1,PRJEB64362,published_open,yes
Osmylus fulvicephalus,GCA_977109365.1,PRJEB90647,published_open,yes
Nineta flava,GCA_963920215.1,PRJEB71418,published_open,yes
Conwentzia psociformis,GCA_976988905.1,PRJEB98820,published_open,yes
Nothochrysa capitata,GCA_965240235.1,PRJEB88338,published_open,yes
Chrysoperla zastrowi sillemi,GCA_040669965.1,PRJNA905226,published_open,yes
Myrmeleon formicarius,GCA_055723605.1,PRJNA1403738,published_open,no
Micromus angulatus,GCA_047833675.1,PRJNA1101095,published_open,yes
Brachynemurus nebulosus,GCA_035578155.1,PRJNA849191,published_open,yes
Synclisis japonica,GCA_055697145.1,PRJNA1403738,published_open,no
Myrmeleon alternans,GCA_055725675.1,PRJNA1403738,published_open,no
Myrmeleon immaculatus,GCA_055723945.1,PRJNA1403738,published_open,no
Protidricerus obscurus,GCA_055696985.1,PRJNA1403738,published_open,no
Glenurus gratus,GCA_055697025.1,PRJNA1403738,published_open,no
Myrmeleon frontalis,GCA_055728825.1,PRJNA1403738,published_open,no
Palpares libelluloides,GCA_055697005.1,PRJNA1403738,published_open,no
Centroclisis negligens,GCA_055698825.1,PRJNA1403738,published_open,no
Myrmeleon tenuipennis,GCA_055729725.1,PRJNA1403738,published_open,no
Porrerus dealbatus,GCA_055732005.1,PRJNA1403738,published_open,no
Myrmeleon fuscus,GCA_055699915.1,PRJNA1403738,published_open,no
Myrmeleon trifasciatus,GCA_055701295.1,PRJNA1403738,published_open,no
Myrmeleon philippinus,GCA_055700155.1,PRJNA1403738,published_open,no
Hagenomyia sagax,GCA_055701245.1,PRJNA1403738,published_open,no
Megistopus flavicornis,GCA_055697125.1,PRJNA1403738,published_open,no
Baliga inanis,GCA_055701335.1,PRJNA1403738,published_open,no
Myrmeleon fasciatus,GCA_055728325.1,PRJNA1403738,published_open,no
Ogcogaster segmentator,GCA_055697045.1,PRJNA1403738,published_open,no
Myrmeleon almohadarum,GCA_055723545.1,PRJNA1403738,published_open,no
Myrmeleon immanis,GCA_055724145.1,PRJNA1403738,published_open,no
Myrmeleon wangxinliae,GCA_055734845.1,PRJNA1403738,published_open,no
Myrmeleon brasiliensis,GCA_055703905.1,PRJNA1403738,published_open,no
Brachynemurus hubbardii,GCA_055699835.1,PRJNA1403738,published_open,no
Myrmeleon argentinus,GCA_055703925.1,PRJNA1403738,published_open,no
Myrmeleon persimilis,GCA_055723985.1,PRJNA1403738,published_open,no
Myrmeleon obscurus,GCA_055703985.1,PRJNA1403738,published_open,no
Myrmeleon javanensis,GCA_055723645.1,PRJNA1403738,published_open,no
Myrmeleon pictifrons,GCA_055701315.1,PRJNA1403738,published_open,no
Myrmeleon torquatus,GCA_055734825.1,PRJNA1403738,published_open,no
Myrmeleon taiwanensis,GCA_055723865.1,PRJNA1403738,published_open,no
Myrmeleon regularis,GCA_055723665.1,PRJNA1403738,published_open,no
Myrmeleon wangi,GCA_055754755.1,PRJNA1403738,published_open,no
Myrmeleon hyalinus,GCA_055704025.1,PRJNA1403738,published_open,no
Myrmeleon exitialis,GCA_055726885.1,PRJNA1403738,published_open,no
Myrmecaelurus zigan,GCA_055699105.1,PRJNA1403738,published_open,no
Myrmeleon dolosus,GCA_055725145.1,PRJNA1403738,published_open,no
Myrmeleon solers,GCA_055723845.1,PRJNA1403738,published_open,no
Myrmeleon trigonois,GCA_055699875.1,PRJNA1403738,published_open,no
Myrmeleon alticolus,GCA_055701055.1,PRJNA1403738,published_open,no
Myrmeleon trivialis,GCA_055768485.1,PRJNA1403738,published_open,no
Hagenomyia tristis,GCA_055703865.1,PRJNA1403738,published_open,no
Stilbopteryx linearis,GCA_055697085.1,PRJNA1403738,published_open,no
Megistoleon ritsemae,GCA_055703805.1,PRJNA1403738,published_open,no
Myrmeleon mcfarlandi,GCA_055703705.1,PRJNA1403738,published_open,no
Myrmeleon circumcinctus,GCA_055701375.1,PRJNA1403738,published_open,no
Myrmeleon heppneri,GCA_055723685.1,PRJNA1403738,published_open,no
Myrmeleon croceicolli,GCA_055703685.1,PRJNA1403738,published_open,no
Australeon illustris,GCA_055701115.1,PRJNA1403738,published_open,no
Hagenomyia conjuncta,GCA_055703845.1,PRJNA1403738,published_open,no
Myrmeleon basutus,GCA_055760095.1,PRJNA1403738,published_open,no
Ameromyia strigosa,GCA_055698785.1,PRJNA1403738,published_open,no
Myrmeleon doralice,GCA_055723525.1,PRJNA1403738,published_open,no
Myrmeleon madagascariensis,GCA_055703645.1,PRJNA1403738,published_open,no
Myrmeleon gerlindae,GCA_055723585.1,PRJNA1403738,published_open,no
Baliga micans,GCA_055701135.1,PRJNA1403738,published_open,no
Myrmeleon acer,GCA_055703785.1,PRJNA1403738,published_open,no
Euroleon coreanus,GCA_055703665.1,PRJNA1403738,published_open,no
Cueta kurzi,GCA_055699855.1,PRJNA1403738,published_open,no
Mexoleon papago,GCA_055699175.1,PRJNA1403738,published_open,no
Fusoleon stigmatus,GCA_055698035.1,PRJNA1403738,published_open,no
Ululodes cajennensis,GCA_055697065.1,PRJNA1403738,published_open,no
Myrmeleon lethifer,GCA_055703745.1,PRJNA1403738,published_open,no
Myrmeleon validus,GCA_055703765.1,PRJNA1403738,published_open,no
Hagenomyia fuscithoraca,GCA_055701195.1,PRJNA1403738,published_open,no
Cueta schamona,GCA_055699935.1,PRJNA1403738,published_open,no
Mongoleon kaszabi,GCA_055699045.1,PRJNA1403738,published_open,no
Euroleon flavicorpus,GCA_055703585.1,PRJNA1403738,published_open,no
Myrmeleon inconspicuus,GCA_055723705.1,PRJNA1403738,published_open,no
Myrmeleon ferrugineipennis,GCA_055701215.1,PRJNA1403738,published_open,no
Kirghizoleon cubitalis,GCA_055703485.1,PRJNA1403738,published_open,no
Baliga guangxiensis,GCA_055703945.1,PRJNA1403738,published_open,no
Euroleon polyspilus,GCA_055703565.1,PRJNA1403738,published_open,no
Dendroleon pantherinus,GCA_055698115.1,PRJNA1403738,published_open,no
Myrmeleon picturatus,GCA_055701415.1,PRJNA1403738,published_open,no
Protoplectron longitudinale,GCA_055698315.1,PRJNA1403738,published_open,no
Nemoleon notatus,GCA_055697165.1,PRJNA1403738,published_open,no
Myrmeleon quinquemaculatus,GCA_055703725.1,PRJNA1403738,published_open,no
Baliga fallax,GCA_055701155.1,PRJNA1403738,published_open,no
Baliga eurysticta,GCA_055701075.1,PRJNA1403738,published_open,no
Euroleon nostras,GCA_055703605.1,PRJNA1403738,published_open,no
Myrmeleon alcestris,GCA_055701275.1,PRJNA1403738,published_open,no
Baliga asakurae,GCA_055701175.1,PRJNA1403738,published_open,no
Euroleon parvus,GCA_055701355.1,PRJNA1403738,published_open,no
Chrysoperla carnea,GCA_905475295.1,PRJEB44057,check_ebp_dtol,yes
Chrysoperla carnea,GCA_034510015.1,PRJNA588406,to_verify,no
Sisyra terminalis,GCA_958496335.1,PRJEB64374,check_ebp_dtol,conditional
Sisyra nigra,GCA_958496165.1,PRJEB64363,check_ebp_dtol,conditional
Myrmeleon formicarius,GCA_055723485.1,PRJNA1403738,to_verify,no
Myrmeleon formicarius,GCA_055723725.1,PRJNA1403738,to_verify,no
Nineta flava,GCA_963920235.1,PRJEB71417,check_ebp_dtol,conditional
Conwentzia psociformis,GCA_976988935.1,PRJEB98819,check_ebp_dtol,yes
Nothochrysa capitata,GCA_965239645.1,PRJEB88337,check_ebp_dtol,yes
Myrmeleon immaculatus,GCA_055723625.1,PRJNA1403738,to_verify,no
Myrmeleon sp. MSPXZLA,GCA_055703545.1,PRJNA1403738,to_verify,no
Porrerus sp. PORPER,GCA_055730585.1,PRJNA1403738,to_verify,no
Myrmeleon sp. 1 YZ-2024b,GCA_055699255.1,PRJNA1403738,to_verify,no
Myrmeleon sp. B7533-1,GCA_055723925.1,PRJNA1403738,to_verify,no
Baliga sp. B7533-1,GCA_055700975.1,PRJNA1403738,to_verify,no
Baliga sp. BEXZ,GCA_055701235.1,PRJNA1403738,to_verify,no
Baliga sp. BALMALAY,GCA_055700015.1,PRJNA1403738,to_verify,no
Myrmeleon hyalinus,GCA_055704005.1,PRJNA1403738,to_verify,no
Myrmeleon obscurus,GCA_055723465.1,PRJNA1403738,to_verify,no
Myrmeleon obscurus,GCA_055704065.1,PRJNA1403738,to_verify,no
Myrmeleon brasiliensis,GCA_055703965.1,PRJNA1403738,to_verify,no
Baliga sp. B7533-2,GCA_055701035.1,PRJNA1403738,to_verify,no
Myrmeleon hyalinus,GCA_055704045.1,PRJNA1403738,to_verify,no
Euroleon sp. EUQH1,GCA_055703505.1,PRJNA1403738,to_verify,no
