bouchard_family,bouchard_subfamily,bouchard_authority,bouchard_superfamily,ncbi_taxid,ncbi_primary_name,ncbi_synonyms,match_status,notes
Meloidae,Nemognathinae,"Laporte, 1840",,2507023,Nemognathinae,,exact,
Meloidae,Tetraonycinae,"Böving & Craighead, 1931",,2507036,Tetraonycinae,,exact,
Melyridae,Dasytinae,"Laporte, 1840",,353827,Dasytinae,,exact,
Melyridae,Malachiinae,"Fleming, 1821",,353826,Malachiinae,,exact,
Melyridae,Melyrinae,"Leach, 1815",,353829,Melyrinae,,exact,
Mesophyletidae,Aepyceratinae,"Poinar, A.E. Bown & Legalov, 2017",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mesophyletidae,Mesophyletinae,"Poinar, 2006",,,,,missing,Not found in NCBI Coleoptera subfamilies
Monotomidae,Monotominae,"Laporte, 1840",,297219,Monotominae,,exact,
Monotomidae,Rhizophaginae,"L. Redtenbacher, 1845",,295918,Rhizophaginae,,exact,
Mordellidae,Ctenidiinae,"Franciscolo, 1951",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mordellidae,Mordellinae,"Latreille, 1802",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mordellidae,Praemordellinae,"Ščegoleva-Barovskaya, 1929",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycetophagidae,Bergininae,"Leng, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycetophagidae,Esarcinae,"Reitter, 1882",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycetophagidae,Mycetophaginae,"Leach, 1815",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycteridae,Eurypinae,"J. Thomson, 1860",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycteridae,Hemipeplinae,"Lacordaire, 1854",,,,,missing,Not found in NCBI Coleoptera subfamilies
Mycteridae,Mycterinae,"Perty, 1840",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Brenthorrhininae,"Arnoldi, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Cretonemonychinae,"Gratshev & Legalov, 2009",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Eccoptarthrinae,"Arnoldi, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Eobelinae,"Arnoldi, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Metrioxenoidinae,"Legalov, 2009",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Nemonychinae,"Bedel, 1882",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Paleocartinae,"Legalov, 2003",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Rhinorhynchinae,"Voss, 1922",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Selengarhynchinae,"Gratshev & Legalov, 2009",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nemonychidae,Slonikinae,"Zherikhin, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nitidulidae,Amphicrossinae,"Kirejtshuk, 1986",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nitidulidae,Calonecrinae,"Kirejtshuk, 1982",,577236,Calonecrinae,,exact,
Nitidulidae,Carpophilinae,"Erichson, 1842",,577237,Carpophilinae,,exact,
Nitidulidae,Cillaeinae,"Kirejtshuk & Audisio, 1986",,577238,Cillaeinae,,exact,
Nitidulidae,Cryptarchinae,"C.G. Thomson, 1859",,577239,Cryptarchinae,,exact,
Nitidulidae,Cybocephalinae,"Jacquelin du Val, 1858",,577240,Cybocephalinae,,exact,
Nitidulidae,Epuraeinae,"Kirejtshuk, 1986",,1771138,Epuraeinae,,exact,
Nitidulidae,Maynipeplinae,"Kirejtshuk, 1998",,,,,missing,Not found in NCBI Coleoptera subfamilies
Nitidulidae,Meligethinae,"C.G. Thomson, 1859",,577241,Meligethinae,,exact,
Nitidulidae,Nitidulinae,"Latreille, 1802",,577242,Nitidulinae,,exact,
Nitidulidae,Prometopiinae,"Böving & Craighead, 1931",,,,,missing,Not found in NCBI Coleoptera subfamilies
Noteridae,Noterinae,"C.G. Thomson, 1860",,,,,missing,Not found in NCBI Coleoptera subfamilies
Noteridae,Notomicrinae,"Branden, 1884",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ochodaeidae,Chaetocanthinae,"Scholtz, 1988",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ochodaeidae,Cretochodaeinae,"Nikolajev, 1995",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ochodaeidae,Ochodaeinae,"Streubel, 1846",,,,,missing,Not found in NCBI Coleoptera subfamilies
Oedemeridae,Calopodinae,"A. Costa, 1852",,,,,missing,Not found in NCBI Coleoptera subfamilies
Oedemeridae,Oedemerinae,"Latreille, 1810",,,,,missing,Not found in NCBI Coleoptera subfamilies
Oedemeridae,Polypriinae,"Lawrence, 2005",,,,,missing,Not found in NCBI Coleoptera subfamilies
Omethidae,Driloniinae,"Crowson, 1972",,,,,missing,Not found in NCBI Coleoptera subfamilies
Omethidae,Matheteinae,"J.L. LeConte, 1881",,,,,missing,Not found in NCBI Coleoptera subfamilies
Omethidae,Omethinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Omethidae,Telegeusinae,"Leng, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ommatidae,Brochocoleinae,"Hong, 1982",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ommatidae,Ommatinae,"Sharp & Muir, 1912",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ommatidae,Tetraphalerinae,"Crowson, 1962",,,,,missing,Not found in NCBI Coleoptera subfamilies
Orsodacnidae,Aulacoscelidinae,"Chapuis, 1874",,,,,missing,Not found in NCBI Coleoptera subfamilies
Orsodacnidae,Orsodacninae,"C.G. Thomson, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Passalidae,Aulacocyclinae,"Kaup, 1868",,,,,missing,Not found in NCBI Coleoptera subfamilies
Passalidae,Passalinae,"Leach, 1815",,,,,missing,Not found in NCBI Coleoptera subfamilies
Passandridae,Mesopassandrinae,"Jin et al., 2019",,,,,missing,Not found in NCBI Coleoptera subfamilies
Passandridae,Passandrinae,"Blanchard, 1845",,,,,missing,Not found in NCBI Coleoptera subfamilies
Permocupedidae,Permocupedinae,"Martynov, 1933",,,,,missing,Not found in NCBI Coleoptera subfamilies
Permocupedidae,Taldycupedinae,"Rohdendorf, 1961",,,,,missing,Not found in NCBI Coleoptera subfamilies
Phalacridae,Phaenocephalinae,"A. Matthews, 1899",,,,,missing,Not found in NCBI Coleoptera subfamilies
Phalacridae,Phalacrinae,"Leach, 1815",,,,,missing,Not found in NCBI Coleoptera subfamilies
Phengodidae,Cydistinae,"Paulus, 1972",,2725892,Cydistinae,,exact,
Phengodidae,Mastinocerinae,"J.L. LeConte, 1881",,660951,Mastinocerinae,,exact,
Phengodidae,Penicillophorinae,"Paulus, 1975",,,,,missing,Not found in NCBI Coleoptera subfamilies
Phengodidae,Phengodinae,"J.L. LeConte, 1861",,343732,Phengodinae,,exact,
Pleocomidae,Archescarabaeinae,"Nikolajev, 2010",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pleocomidae,Cretocominae,"Nikolajev, 2002",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pleocomidae,Pleocominae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Psephenidae,Afroeubriinae,"Lee, Satô, Shepard & Jäch, 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Psephenidae,Eubrianacinae,"Jakobson, 1913",,,,,missing,Not found in NCBI Coleoptera subfamilies
Psephenidae,Eubriinae,"Lacordaire, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Psephenidae,Psepheninae,"Lacordaire, 1854",,,,,missing,Not found in NCBI Coleoptera subfamilies
Psephenidae,Psephenoidinae,"Bollow, 1938",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptiliidae,Nossidiinae,"Sörensson & Delgado, 2019",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptiliidae,Ptiliinae,"Erichson, 1845",,361591,Ptiliinae,,exact,
Ptilodactylidae,Anchytarsinae,"Champion, 1897",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptilodactylidae,Aploglossinae,"Champion, 1897",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptilodactylidae,Araeopidiinae,"Lawrence, 1991",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptilodactylidae,Cladotominae,"Pic, 1914",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptilodactylidae,Ptilodactylinae,"Laporte, 1838",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptinidae,Alvarenganiellinae,"Viana & Martínez, 1971",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ptinidae,Anobiinae,"Fleming, 1821",,441275,Anobiinae,Anobiidae,exact,
Ptinidae,Dorcatominae,"C.G. Thomson, 1859",,441280,Dorcatominae,,exact,
Ptinidae,Dryophilinae,"Gistel, 1848",,441277,Dryophilinae,,exact,
Ptinidae,Ernobiinae,"Pic, 1912",,441278,Ernobiinae,,exact,
Ptinidae,Eucradinae,"J.L. LeConte, 1861",,441276,Eucradinae,,exact,
Ptinidae,Mesocoelopodinae,"Mulsant & Rey, 1864",,441282,Mesocoelopodinae,,exact,
Ptinidae,Ptilininae,"Shuckard, 1839",,441297,Ptilininae,,exact,
Ptinidae,Ptininae,"Latreille, 1802",,3044489,Ptininae,,exact,
Ptinidae,Xyletininae,"Gistel, 1848",,3044490,Xyletininae,Xyletinae,exact,
Pyrochroidae,Agnathinae,"Lacordaire, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Pedilinae,"Lacordaire, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Pilipalpinae,"M. Abdullah, 1964",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Pogonocerinae,"Iablokoff-Khnzorian, 1985",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Pyrochroinae,"Latreille, 1806",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Tydessinae,"Nikitsky, 1986",,,,,missing,Not found in NCBI Coleoptera subfamilies
Pyrochroidae,Waidelotinae,"Bukejs et al., 2019",,,,,missing,Not found in NCBI Coleoptera subfamilies
Rhadalidae,Gietellinae,"Constantin & Menier, 1987",,2571895,Gietellinae,,exact,
Rhadalidae,Rhadalinae,"J.L. LeConte, 1861",,353828,Rhadalinae,,exact,
Rhipiceridae,Rhipicerinae,"Latreille, 1834",,,,,missing,Not found in NCBI Coleoptera subfamilies
Rhipiceridae,Sandalinae,"Jakobson, 1913",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ripiphoridae,Hemirhipidiinae,"Heller, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ripiphoridae,Pelecotominae,"Guérin-Méneville, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ripiphoridae,Ptilophorinae,"Gerstaecker, 1855",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ripiphoridae,Ripidiinae,"Gerstaecker, 1855",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ripiphoridae,Ripiphorinae,"Laporte, 1840",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Aegialitinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Agleninae,"G.H. Horn, 1878",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Dacoderinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Inopeplinae,"Grouvelle, 1908",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Othniinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Prostominiinae,"Grouvelle, 1914",,,,,missing,Not found in NCBI Coleoptera subfamilies
Salpingidae,Salpinginae,"Leach, 1815",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Aclopinae,"Blanchard, 1850",,702309,Aclopinae,,exact,
Scarabaeidae,Aegialiinae,"Laporte, 1840",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Allidiostomatinae,"Arrow, 1940",,702055,Allidiostomatinae,,exact,
Scarabaeidae,Aphodiinae,"Leach, 1815",,166306,Aphodiinae,Aegialiinae|Aphodiidae,exact,
Scarabaeidae,Aulonocneminae,"A. Janssens, 1946",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Cetoniinae,"Leach, 1815",,7056,Cetoniinae,Cetonidae|Cetoniidae|Cetoninae,exact,
Scarabaeidae,Chironinae,"Blanchard, 1845",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Cretoscarabaeinae,"Nikolajev, 1995",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Dynamopodinae,"Arrow, 1911",,3085250,Dynamopodinae,,exact,
Scarabaeidae,Dynastinae,"W.S. MacLeay, 1819",,50519,Dynastinae,,exact,
Scarabaeidae,Electrorubesopsinae,"Bai & B. Wang, 2018",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Eremazinae,"Stebnicka, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Lithoscarabaeinae,"Nikolajev, 1992",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Melolonthinae,"Leach, 1819",,7059,Melolonthinae,Melolonthidae,exact,
Scarabaeidae,Oncerinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Orphninae,"Erichson, 1847",,207266,Orphninae,,exact,
Scarabaeidae,Phaenomeridinae,"Erichson, 1847",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Podolasiinae,"Howden, 1997",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Prototroginae,"Nikolajev, 2000",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Rutelinae,"W.S. MacLeay, 1819",,7062,Rutelinae,Rutelidae,exact,
Scarabaeidae,Scarabaeinae,"Latreille, 1802",,41142,Scarabaeinae,,exact,
Scarabaeidae,Sericinae,"W. Kirby, 1837",,360072,Sericinae,,exact,
Scarabaeidae,Sericoidinae,"Erichson, 1847",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scarabaeidae,Termitotroginae,"Wasmann, 1918",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scirtidae,Mesernobiinae,"Engel, 2010",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scirtidae,Nipponocyphoninae,"Lawrence & Yoshitomi, 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scirtidae,Scirtinae,"Fleming, 1821",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scirtidae,Stenocyphoninae,"Lawrence & Yoshitomi, 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scraptiidae,Anaspidinae,"Mulsant, 1856",,,,,missing,Not found in NCBI Coleoptera subfamilies
Scraptiidae,Scraptiinae,"Gistel, 1848",,,,,missing,Not found in NCBI Coleoptera subfamilies
Silvanidae,Brontinae,"Blanchard, 1845",,353831,Brontinae,,exact,
Silvanidae,Silvaninae,"W. Kirby, 1837",,353830,Silvaninae,,exact,
Sphindidae,Libanopsinae,"Kirejtshuk, 2015",,,,,missing,Not found in NCBI Coleoptera subfamilies
Sphindidae,Odontosphindinae,"Sen Gupta & Crowson, 1979",,,,,missing,Not found in NCBI Coleoptera subfamilies
Sphindidae,Protosphindinae,"Sen Gupta & Crowson, 1979",,,,,missing,Not found in NCBI Coleoptera subfamilies
Sphindidae,Sphindinae,"Jacquelin du Val, 1860",,,,,missing,Not found in NCBI Coleoptera subfamilies
Sphindidae,Sphindiphorinae,"Sen Gupta & Crowson, 1979",,,,,missing,Not found in NCBI Coleoptera subfamilies
Staphylinidae,Aleocharinae,"Fleming, 1821",,135860,Aleocharinae,,exact,
Staphylinidae,Apateticinae,"Fauvel, 1895",,351513,Apateticinae,,exact,
Staphylinidae,Dasycerinae,"Reitter, 1887",,82878,Dasycerinae,,exact,
Staphylinidae,Empelinae,"Newton & Tayer, 1992",,351505,Empelinae,,exact,
Staphylinidae,Euaesthetinae,"C.G. Thomson, 1859",,82884,Euaesthetinae,,exact,
Staphylinidae,Glypholomatinae,"Jeannel, 1962",,295602,Glypholomatinae,,exact,
Staphylinidae,Habrocerinae,"Mulsant & Rey, 1876",,82880,Habrocerinae,,exact,
Staphylinidae,Leptotyphlinae,"Fauvel, 1874",,351516,Leptotyphlinae,,exact,
Staphylinidae,Megalopsidiinae,"Leng, 1920",,295613,Megalopsidiinae,,exact,
Staphylinidae,Micropeplinae,"Leach, 1815",,295605,Micropeplinae,,exact,
Staphylinidae,Microsilphinae,"Crowson, 1950",,351504,Microsilphinae,,exact,
Staphylinidae,Mycetoporinae,"C.G. Thomson, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Staphylinidae,Neophoninae,"Fauvel, 1905",,,,,missing,Not found in NCBI Coleoptera subfamilies
Staphylinidae,Olisthaerinae,"C.G. Thomson, 1858",,351510,Olisthaerinae,,exact,
Staphylinidae,Omaliinae,"W.S. MacLeay, 1825",,66542,Omaliinae,Omalinae,exact,
Staphylinidae,Osoriinae,"Erichson, 1839",,295624,Osoriinae,,exact,
Staphylinidae,Oxyporinae,"Fleming, 1821",,82902,Oxyporinae,,exact,
Staphylinidae,Oxytelinae,"Fleming, 1821",,82877,Oxytelinae,,exact,
Staphylinidae,Paederinae,"Fleming, 1821",,82885,Paederinae,,exact,
Staphylinidae,Phloeocharinae,"Erichson, 1839",,295634,Phloeocharinae,,exact,
Staphylinidae,Piestinae,"Erichson, 1839",,295637,Piestinae,,exact,
Staphylinidae,Protactinae,"Heer, 1847",,,,,missing,Not found in NCBI Coleoptera subfamilies
Staphylinidae,Proteininae,"Erichson, 1839",,66543,Proteininae,,exact,
Staphylinidae,Protopselaphinae,"Newton & Tayer, 1995",,,,,missing,Not found in NCBI Coleoptera subfamilies
Staphylinidae,Pselaphinae,"Latreille, 1802",,66544,Pselaphinae,,exact,
Staphylinidae,Pseudopsinae,"Ganglbauer, 1895",,295640,Pseudopsinae,,exact,
Staphylinidae,Scaphidiinae,"Latreille, 1806",,82879,Scaphidiinae,,exact,
Staphylinidae,Scydmaeninae,"Leach, 1815",,1213603,Scydmaeninae,Scydmaenidae,exact,
Staphylinidae,Silphinae,"Latreille, 1806",,82881,Silphinae,,conflict,NCBI places in Silphidae; Bouchard places in Staphylinidae
Staphylinidae,Solieriinae,"Newton & Tayer, 1992",,351515,Solieriinae,,exact,
Staphylinidae,Staphylininae,"Latreille, 1802",,82886,Staphylininae,Xanthopyginae,exact,
Staphylinidae,Steninae,"W.S. MacLeay, 1825",,82883,Steninae,,exact,
Staphylinidae,Tachyporinae,"W.S. MacLeay, 1825",,82876,Tachyporinae,,exact,
Staphylinidae,Trichophyinae,"C.G. Thomson, 1858",,351511,Trichophyinae,,exact,
Staphylinidae,Trigonurinae,"Reiche, 1866",,351501,Trigonurinae,,exact,
Stenotrachelidae,Cephaloinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Stenotrachelidae,Nematoplinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Stenotrachelidae,Stenotrachelinae,"C.G. Thomson, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Stenotrachelidae,Stoliinae,"Nikitsky, 1985",,,,,missing,Not found in NCBI Coleoptera subfamilies
Tenebrionidae,Alleculinae,"Laporte, 1840",,1586648,Alleculinae,Cteniopodinae,exact,
Tenebrionidae,Blaptinae,"Leach, 1815",,2870904,Blaptinae,,exact,
Tenebrionidae,Diaperinae,"Latreille, 1802",,1272144,Diaperinae,,exact,
Tenebrionidae,Kuhitangiinae,"G.S. Medvedev, 1962",,,,,missing,Not found in NCBI Coleoptera subfamilies
Tenebrionidae,Lagriinae,"Latreille, 1825",,1272142,Lagriinae,,exact,
Tenebrionidae,Nilioninae,"Oken, 1843",,1272145,Nilioninae,,exact,
Tenebrionidae,Phrenapatinae,"Solier, 1834",,1272146,Phrenapatinae,,exact,
Tenebrionidae,Pimeliinae,"Latreille, 1802",,1271710,Pimeliinae,,exact,
Tenebrionidae,Stenochiinae,"W. Kirby, 1837",,1272147,Stenochiinae,,exact,
Tenebrionidae,Tenebrioninae,"Latreille, 1802",,1272141,Tenebrioninae,,exact,
Tenebrionidae,Zolodininae,"Watt, 1975",,1272148,Zolodininae,,exact,
Teredidae,Anommatinae,"Ganglbauer, 1899",,,,,missing,Not found in NCBI Coleoptera subfamilies
Teredidae,Teredinae,"Seidlitz, 1888",,,,,missing,Not found in NCBI Coleoptera subfamilies
Teredidae,Xylariophilinae,"Pal & Lawrence, 1986",,,,,missing,Not found in NCBI Coleoptera subfamilies
Tetratomidae,Eustrophinae,"Gistel, 1848",,297225,Eustrophinae,,exact,
Tetratomidae,Hallomeninae,"Gistel, 1848",,3003481,Hallomeninae,,exact,
Tetratomidae,Penthinae,"Lacordaire, 1859",,297223,Penthinae,,exact,
Tetratomidae,Piseninae,"Miyatake, 1960",,2109498,Piseninae,,exact,
Tetratomidae,Sphindociinae,"Lawrence, 1974",,577182,Sphindociinae,,conflict,NCBI places in Ciidae; Bouchard places in Tetratomidae
Tetratomidae,Tetratominae,"Billberg, 1820",,297224,Tetratominae,,exact,
Thanerocleridae,Thaneroclerinae,"Chapin, 1924",,2571814,Thaneroclerinae,,exact,
Thanerocleridae,Zenodosinae,"Kolibáč, 1992",,2571941,Zenodosinae,,exact,
Thymalidae,Decamerinae,"Crowson, 1964",,,,,missing,Not found in NCBI Coleoptera subfamilies
Thymalidae,Thymalinae,"Léveillé, 1888",,,,,missing,Not found in NCBI Coleoptera subfamilies
Torridincolidae,Deleveinae,"Endrödy-Younga, 1997",,,,,missing,Not found in NCBI Coleoptera subfamilies
Torridincolidae,Torridincolinae,"Steffan, 1964",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trachypachidae,Eodromeinae,"Ponomarenko, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trachypachidae,Trachypachinae,"C.G. Thomson, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trogidae,Kresnikinae,"Tihelka et al., 2019",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trogidae,Omorginae,"Nikolajev, 2005",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trogidae,Troginae,"W.S. MacLeay, 1819",,,,,missing,Not found in NCBI Coleoptera subfamilies
Trogossitidae,Calityinae,"Houlbert, 1922",,2571928,Calityinae,,exact,
Trogossitidae,Egoliinae,"Lacordaire, 1854",,2571929,Egoliinae,,exact,
Trogossitidae,Larinotinae,"Ślipiński, 1992",,2571930,Larinotinae,,exact,
Trogossitidae,Trogossitinae,"Latreille, 1802",,295802,Trogossitinae,,exact,
Vesperidae,Anoplodermatinae,"Guérin-Méneville, 1840",,558408,Anoplodermatinae,,conflict,NCBI places in Cerambycidae; Bouchard places in Vesperidae
Vesperidae,Philinae,"J. Thomson, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Vesperidae,Vesperinae,"Mulsant, 1839",,294820,Vesperinae,,conflict,NCBI places in Cerambycidae; Bouchard places in Vesperidae
Zopheridae,Colydiinae,"Billberg, 1820",,124799,Colydiinae,Colydiidae,exact,
Zopheridae,Zopherinae,"Solier, 1834",,297220,Zopherinae,,exact,
